Start Date,Year,Cycle,ENL,RES
10/7/2021 5:00:00,2021,39,18000,2900000
10/14/2021 12:00:00,2021,40,13000,2000000
10/21/2021 19:00:00,2021,41,285,1300000
10/29/2021 2:00:00,2021,42,13000,1500000
11/5/2021 9:00:00,2021,43,34000,468000
11/12/2021 16:00:00,2021,44,28000,1400000
11/19/2021 23:00:00,2021,45,28000,1700000
11/27/2021 6:00:00,2021,46,31000,514000
12/4/2021 13:00:00,2021,47,125000,217000
12/11/2021 20:00:00,2021,48,36000,709000
12/19/2021 3:00:00,2021,49,25000,1500000
12/26/2021 10:00:00,2021,50,8200,3700000
1/2/2022 17:00:00,2022,01,19000,995000
1/10/2022 0:00:00,2022,02,5300,791000
1/17/2022 7:00:00,2022,03,5900,1200000
1/24/2022 14:00:00,2022,04,1100,1200000
1/31/2022 21:00:00,2022,05,5100,1300000
2/8/2022 4:00:00,2022,06,40000,885000
2/15/2022 11:00:00,2022,07,44000,995000
2/22/2022 18:00:00,2022,08,93000,764000
3/2/2022 1:00:00,2022,09,68000,969000
3/9/2022 8:00:00,2022,10,119000,793000
3/16/2022 15:00:00,2022,11,94000,1400000
3/23/2022 22:00:00,2022,12,152000,883000
3/31/2022 5:00:00,2022,13,174000,4300000
4/7/2022 12:00:00,2022,14,105000,450000
4/14/2022 19:00:00,2022,15,94000,358000
4/22/2022 2:00:00,2022,16,129000,507000
4/29/2022 9:00:00,2022,17,117000,422000
5/6/2022 16:00:00,2022,18,123000,318000
5/13/2022 23:00:00,2022,19,115000,2500000
5/21/2022 6:00:00,2022,20,127000,323000
5/28/2022 13:00:00,2022,21,105000,278000
6/4/2022 20:00:00,2022,22,103000,172000
6/12/2022 3:00:00,2022,23,267000,68000
6/19/2022 10:00:00,2022,24,213000,367000
6/26/2022 17:00:00,2022,25,106000,551000
7/4/2022 0:00:00,2022,26,76000,886000
7/11/2022 7:00:00,2022,27,99000,675000
7/18/2022 14:00:00,2022,28,110000,705000
7/25/2022 21:00:00,2022,29,63000,518000
8/2/2022 4:00:00,2022,30,68000,491000
8/9/2022 11:00:00,2022,31,67000,518000
8/16/2022 18:00:00,2022,32,87000,311000
8/24/2022 1:00:00,2022,33,65000,377000
8/31/2022 8:00:00,2022,34,31000,617000
9/7/2022 15:00:00,2022,35,37000,663000
9/14/2022 22:00:00,2022,36,73000,732000
9/22/2022 5:00:00,2022,37,63000,437000
9/29/2022 12:00:00,2022,38,72000,564000
10/6/2022 19:00:00,2022,39,75000,414000
10/14/2022 2:00:00,2022,40,82000,148000
10/21/2022 9:00:00,2022,41,103000,166000
10/28/2022 16:00:00,2022,42,66000,233000
11/4/2022 23:00:00,2022,43,99000,137000
11/12/2022 6:00:00,2022,44,322000,155000
11/19/2022 13:00:00,2022,45,66000,361000
11/26/2022 20:00:00,2022,46,81000,629000
12/4/2022 3:00:00,2022,47,123000,624000
12/11/2022 10:00:00,2022,48,112000,344000
12/18/2022 17:00:00,2022,49,172000,368000
12/26/2022 0:00:00,2022,50,205000,668000
1/2/2023 7:00:00,2023,01,204000,379000
1/9/2023 14:00:00,2023,02,90000,447000
1/16/2023 21:00:00,2023,03,105000,406000
1/24/2023 4:00:00,2023,04,105000,423000
1/31/2023 11:00:00,2023,05,129000,473000
2/7/2023 18:00:00,2023,06,282000,136000
2/15/2023 1:00:00,2023,07,199000,345000
2/22/2023 8:00:00,2023,08,111000,361000
3/1/2023 15:00:00,2023,09,165000,399000
3/8/2023 22:00:00,2023,10,135000,258000
3/16/2023 5:00:00,2023,11,135000,433000
3/23/2023 12:00:00,2023,12,123000,359000
3/30/2023 19:00:00,2023,13,192000,482000
4/7/2023 2:00:00,2023,14,160000,415000
4/14/2023 9:00:00,2023,15,117000,483000
4/21/2023 16:00:00,2023,16,151000,489000
4/28/2023 23:00:00,2023,17,202000,391000
5/6/2023 6:00:00,2023,18,135000,618000
5/13/2023 13:00:00,2023,19,98000,622000
5/20/2023 20:00:00,2023,20,125000,651000
5/28/2023 3:00:00,2023,21,89000,300000
6/4/2023 10:00:00,2023,22,93000,539000
6/11/2023 17:00:00,2023,23,112000,630000
6/19/2023 0:00:00,2023,24,890000,233000
6/26/2023 7:00:00,2023,25,250000,121000
7/3/2023 14:00:00,2023,26,287000,110000
7/10/2023 21:00:00,2023,27,203000,84000
7/18/2023 4:00:00,2023,28,267000,54000
7/25/2023 11:00:00,2023,29,322000,48000
8/1/2023 18:00:00,2023,30,384000,67000
8/9/2023 1:00:00,2023,31,536000,83000
8/16/2023 8:00:00,2023,32,422000,63000
8/23/2023 15:00:00,2023,33,147000,48000
8/30/2023 22:00:00,2023,34,160000,55000
9/7/2023 5:00:00,2023,35,163000,46000
9/14/2023 12:00:00,2023,36,246000,113000
9/21/2023 19:00:00,2023,37,389000,116000
9/29/2023 2:00:00,2023,38,489000,200000
10/6/2023 9:00:00,2023,39,303000,143000
10/13/2023 16:00:00,2023,40,213000,171000
10/20/2023 23:00:00,2023,41,371000,109000
10/28/2023 6:00:00,2023,42,219000,192000
11/4/2023 13:00:00,2023,43,421000,163000
11/11/2023 20:00:00,2023,44,157000,249000
11/19/2023 3:00:00,2023,45,180000,261000
11/26/2023 10:00:00,2023,46,234000,143000
12/3/2023 17:00:00,2023,47,179000,114000
12/11/2023 0:00:00,2023,48,252000,95000
12/18/2023 7:00:00,2023,49,238000,139000
12/25/2023 14:00:00,2023,50,350000,168000
1/1/2024 21:00:00,2024,01,350000,211000
1/9/2024 4:00:00,2024,02,206000,177000
1/16/2024 11:00:00,2024,03,219000,164000
1/23/2024 18:00:00,2024,04,236000,299000
1/31/2024 1:00:00,2024,05,364000,283000
2/7/2024 8:00:00,2024,06,376000,341000
2/14/2024 15:00:00,2024,07,385000,330000
2/21/2024 22:00:00,2024,08,377000,193000
2/29/2024 5:00:00,2024,09,421000,140000
3/7/2024 12:00:00,2024,10,327000,190000
3/14/2024 19:00:00,2024,11,438000,176000
3/22/2024 2:00:00,2024,12,398000,205000
3/29/2024 9:00:00,2024,13,316000,254000
4/5/2024 16:00:00,2024,14,217000,349000
4/12/2024 23:00:00,2024,15,227000,399000
4/20/2024 6:00:00,2024,16,190000,374000
4/27/2024 13:00:00,2024,17,190000,320000
5/4/2024 20:00:00,2024,18,194000,312000
5/12/2024 3:00:00,2024,19,201000,465000
5/19/2024 10:00:00,2024,20,189000,321000
5/26/2024 17:00:00,2024,21,587000,198000
6/3/2024 0:00:00,2024,22,440000,276000
6/10/2024 7:00:00,2024,23,555000,219000
6/17/2024 14:00:00,2024,24,1300000,176000
6/24/2024 21:00:00,2024,25,555000,299000
7/2/2024 4:00:00,2024,26,481000,207000
7/9/2024 11:00:00,2024,27,281000,242000
7/16/2024 18:00:00,2024,28,706000,270000
7/24/2024 1:00:00,2024,29,442000,255000
7/31/2024 8:00:00,2024,30,832000,239000
8/7/2024 15:00:00,2024,31,669000,209000
8/14/2024 22:00:00,2024,32,373000,166000
8/22/2024 5:00:00,2024,33,376000,201000
8/29/2024 12:00:00,2024,34,657000,247000
9/5/2024 19:00:00,2024,35,528000,295000
9/13/2024 2:00:00,2024,36,316000,191000
9/20/2024 9:00:00,2024,37,234000,215000
9/27/2024 16:00:00,2024,38,464000,243000
10/4/2024 23:00:00,2024,39,338000,287000
10/12/2024 6:00:00,2024,40,523000,199000
